draw_date,n1,n2,n3,n4,n5,n6,prize_4_1,prize_4_0,prize_3_1,prize_3_0
1/3/2014,18,28,29,31,33,2,515,30,12,5
1/6/2014,8,14,27,31,33,4,75,32,9,5
1/8/2014,9,20,25,30,33,1,85,32,12,5
1/10/2014,6,7,10,21,33,2,85,26,10,4
1/13/2014,4,6,11,20,29,3,82,21,8,4
1/15/2014,19,22,25,29,31,3,70,29,10,5
1/17/2014,10,14,16,17,24,1,118,24,10,5
1/20/2014,3,12,19,21,27,5,61,23,9,4
1/22/2014,2,9,17,30,32,4,93,23,9,5
1/24/2014,7,24,27,28,33,5,105,18,9,4
1/27/2014,6,10,27,33,34,3,75,32,9,5
1/29/2014,1,3,21,23,31,4,220,27,11,5
1/31/2014,6,10,13,14,18,4,114,22,9,5
2/3/2014,3,8,17,19,27,1,105,19,10,4
2/5/2014,1,11,15,18,28,5,96,18,10,5
2/7/2014,8,20,21,22,31,3,136,27,10,5
2/10/2014,3,5,8,14,25,1,185,24,10,4
2/12/2014,7,20,22,25,27,4,74,24,9,5
2/14/2014,14,19,21,22,35,5,130,29,9,5
2/17/2014,11,22,29,33,35,4,80,26,9,5
2/19/2014,1,17,28,32,35,2,93,30,11,5
2/21/2014,1,3,14,19,21,4,107,20,10,5
2/24/2014,7,8,13,18,24,2,98,19,9,4
2/26/2014,5,23,30,33,35,4,53,28,10,5
2/28/2014,4,6,11,14,23,5,106,22,10,4
3/3/2014,8,11,15,31,33,1,85,20,10,4
3/5/2014,3,7,16,20,33,1,84,26,9,5
3/7/2014,6,17,22,30,34,1,134,34,12,5
3/10/2014,2,15,16,24,27,1,175,19,11,5
3/12/2014,1,4,6,7,26,1,158,27,11,5
3/14/2014,6,8,11,22,28,4,86,23,9,4
3/17/2014,1,2,12,22,33,5,111,30,10,5
3/19/2014,17,19,26,32,33,5,113,29,12,6
3/21/2014,17,19,21,22,32,5,161,32,10,5
3/24/2014,6,7,10,15,23,5,80,27,9,4
3/26/2014,3,5,12,25,35,2,73,21,10,5
3/28/2014,9,13,16,18,28,5,78,26,10,4
3/31/2014,3,11,12,13,30,3,74,26,8,5
4/2/2014,1,7,12,22,34,4,98,25,8,5
4/4/2014,1,14,17,23,28,4,110,21,10,5
4/7/2014,5,10,25,27,33,5,84,25,9,5
4/9/2014,12,14,27,29,30,5,280,25,10,5
4/11/2014,10,14,20,21,22,3,312,30,10,5
4/14/2014,18,19,27,31,35,4,157,32,10,5
4/16/2014,1,4,11,24,31,4,78,20,9,5
4/18/2014,2,9,25,29,30,1,120,26,10,5
4/21/2014,1,11,15,23,31,3,57,31,8,4
4/23/2014,12,14,23,30,34,5,62,23,9,5
4/25/2014,3,6,15,16,31,2,83,24,11,5
4/28/2014,3,8,20,24,29,5,244,25,10,4
4/30/2014,3,22,25,28,29,1,101,21,11,5
5/2/2014,4,6,19,30,31,4,82,33,10,5
5/5/2014,8,25,27,29,33,2,81,22,12,5
5/7/2014,1,6,13,22,25,1,159,26,11,4
5/9/2014,11,13,16,21,28,5,230,24,8,4
5/12/2014,4,11,14,31,35,2,137,27,9,4
5/14/2014,6,14,16,19,24,4,68,22,9,5
5/16/2014,6,8,14,26,31,2,89,27,9,4
5/19/2014,4,11,22,26,34,3,90,31,9,5
5/21/2014,3,13,21,27,31,5,196,25,8,4
5/23/2014,2,3,8,19,23,5,94,23,9,4
5/26/2014,4,5,11,16,35,4,54,38,10,5
5/28/2014,10,11,16,19,21,3,128,30,8,4
5/30/2014,7,21,28,30,32,3,67,27,10,5
6/2/2014,4,9,22,32,34,4,90,26,9,5
6/4/2014,11,15,23,24,35,5,142,25,9,5
6/6/2014,5,6,31,33,34,3,119,24,11,5
6/9/2014,5,10,11,27,34,4,97,23,10,4
6/11/2014,1,15,16,18,20,4,146,41,13,5
6/13/2014,10,27,28,31,35,3,145,26,11,5
6/16/2014,5,6,9,17,19,5,79,23,8,4
6/18/2014,2,5,15,30,32,1,315,26,10,6
6/20/2014,8,18,21,25,35,1,118,28,11,5
6/23/2014,11,20,26,31,34,4,98,33,10,5
6/25/2014,14,15,29,30,32,2,165,31,10,5
6/27/2014,1,9,13,27,30,5,87,28,11,5
6/30/2014,3,6,12,14,24,2,61,18,9,4
7/2/2014,6,12,16,21,34,5,133,30,10,5
7/4/2014,16,17,19,33,34,2,111,20,11,5
7/7/2014,3,6,27,30,33,3,112,30,8,5
7/9/2014,4,8,14,24,29,4,67,21,8,4
7/11/2014,1,8,9,16,25,1,57,24,10,5
7/14/2014,5,12,29,32,34,1,87,32,11,5
7/16/2014,9,20,25,27,32,5,70,24,10,5
7/18/2014,9,13,14,31,32,2,187,31,12,5
7/21/2014,6,8,23,25,29,5,97,26,8,4
7/23/2014,1,11,16,21,26,3,43,17,10,5
7/25/2014,1,5,14,29,31,3,84,23,10,5
7/28/2014,3,9,22,24,27,3,99,24,8,4
7/30/2014,13,20,27,28,33,4,106,38,10,5
8/1/2014,2,5,12,18,23,3,82,29,9,5
8/4/2014,2,7,9,17,26,3,146,20,9,4
8/6/2014,8,12,16,17,27,2,94,21,9,4
8/8/2014,1,7,13,26,28,4,170,25,10,5
8/11/2014,12,14,17,23,32,5,80,22,8,4
8/13/2014,7,10,13,33,34,3,66,24,9,5
8/15/2014,1,4,5,22,26,1,129,29,10,5
8/18/2014,2,4,8,9,18,1,90,22,9,4
8/20/2014,12,22,30,33,35,2,103,27,10,5
8/22/2014,7,11,14,22,32,1,85,18,9,4
8/25/2014,4,5,28,30,32,5,77,29,11,5
8/27/2014,6,12,16,21,25,4,91,25,10,5
8/29/2014,7,22,28,34,35,5,110,21,9,4
9/1/2014,2,14,21,24,31,5,116,25,9,5
9/3/2014,7,10,14,24,25,4,68,21,8,4
9/5/2014,6,7,14,24,25,1,138,23,10,4
9/8/2014,8,9,14,27,28,1,152,26,9,4
9/10/2014,1,3,8,9,13,1,119,25,9,4
9/12/2014,1,10,16,33,34,5,72,22,11,6
9/15/2014,6,9,12,21,35,4,72,32,11,4
9/17/2014,3,12,17,18,22,5,87,33,9,4
9/19/2014,4,12,20,27,35,1,141,26,12,5
9/22/2014,4,12,14,19,28,3,89,24,8,4
9/24/2014,3,10,15,21,25,2,161,23,10,4
9/26/2014,2,5,25,28,29,2,99,40,12,5
9/29/2014,13,21,23,28,34,4,91,28,10,4
10/1/2014,1,4,9,13,25,4,107,19,9,4
10/3/2014,1,4,21,29,31,1,89,28,11,5
10/6/2014,7,8,12,17,21,5,162,17,9,4
10/8/2014,1,12,13,25,32,5,126,25,10,5
10/10/2014,10,11,19,21,25,3,165,30,8,5
10/13/2014,2,7,19,26,27,1,320,32,10,4
10/15/2014,7,12,15,27,33,3,91,25,8,4
10/17/2014,11,17,18,20,21,4,58,27,10,5
10/20/2014,2,18,29,31,35,2,209,38,10,5
10/22/2014,2,9,13,16,34,5,94,30,9,5
10/24/2014,4,15,16,24,26,1,96,29,12,5
10/27/2014,5,21,25,30,33,4,97,26,11,5
10/29/2014,6,7,21,28,34,5,66,29,9,5
10/31/2014,3,22,23,30,34,4,142,29,10,5
11/3/2014,11,15,16,23,25,3,86,29,9,5
11/5/2014,6,14,19,30,31,1,76,19,10,5
11/7/2014,8,15,17,28,30,2,93,24,10,5
11/10/2014,2,17,24,31,32,3,125,25,9,5
11/12/2014,8,10,26,27,29,3,127,30,10,4
11/14/2014,11,16,25,27,34,1,72,28,11,5
11/17/2014,6,10,16,23,27,2,56,25,10,4
11/19/2014,2,9,12,19,25,2,121,21,9,4
11/21/2014,1,5,6,7,27,5,142,27,9,5
11/24/2014,3,8,25,30,31,2,129,24,11,4
11/26/2014,5,10,15,18,25,4,58,13,9,4
11/28/2014,16,23,24,27,29,1,88,32,11,5
12/1/2014,20,24,27,31,34,3,109,34,11,5
12/3/2014,2,14,21,24,34,3,86,21,9,5
12/5/2014,4,6,7,13,26,3,117,24,9,4
