draw_date,n1,n2,n3,n4,n5,prize_4_1,prize_4_0,prize_3_1,prize_3_0,prize_2_1
9/1/2014,12,18,28,33,4,0,2832,66,21,20
9/4/2014,13,26,29,30,12,0,1957,48,22,20
9/8/2014,23,24,30,35,35,0,2249,56,22,20
9/11/2014,3,4,13,27,13,0,1721,51,20,16
9/15/2014,2,14,18,33,22,0,1673,63,23,22
9/18/2014,7,14,17,22,25,0,1005,48,18,19
9/22/2014,8,9,22,34,19,1175000,1121,45,22,22
9/25/2014,1,4,11,31,34,200000,1280,38,19,22
9/29/2014,5,17,18,27,4,200000,1481,45,20,19
10/2/2014,4,18,30,32,8,0,1467,39,21,19
10/6/2014,3,9,16,28,7,0,1594,40,20,17
10/9/2014,3,20,22,30,12,300000,1348,63,21,20
10/13/2014,11,23,26,30,24,0,1674,68,20,21
10/16/2014,22,31,32,33,21,225000,3014,49,21,22
10/20/2014,6,9,12,28,9,0,1132,42,17,18
10/23/2014,1,9,18,19,35,0,958,44,19,20
10/27/2014,9,15,32,34,15,0,1272,74,22,22
10/30/2014,2,3,28,34,30,0,1425,91,23,23
11/3/2014,12,15,21,27,12,0,1230,57,19,19
11/6/2014,2,14,27,35,24,0,1564,57,22,23
11/10/2014,9,19,26,33,29,0,2791,51,20,21
11/13/2014,1,12,27,33,25,1100000,1742,62,21,21
11/17/2014,1,10,17,28,24,0,1937,41,19,22
11/20/2014,9,19,30,34,21,0,1099,51,21,20
11/24/2014,4,14,22,30,9,0,2261,61,21,20
11/27/2014,5,15,18,24,10,0,959,37,20,17
12/1/2014,3,8,19,29,2,0,1239,54,19,21
12/4/2014,3,18,26,35,19,725000,2147,47,21,21
12/8/2014,5,6,24,28,21,0,1199,67,22,21
12/11/2014,2,3,14,30,4,225000,2442,47,21,21
12/15/2014,12,22,28,32,18,200000,1079,58,20,20
12/18/2014,11,13,15,24,5,0,1936,57,19,19
